name="DownloadProviderUi.apk" certificate="../tools/security/media.x509.pem" private_key="../tools/security/media.pk8"
name="GenieWidget.apk" certificate="PRESIGNED" private_key=""
name="CloudPrint2.apk" certificate="PRESIGNED" private_key=""
name="Videos.apk" certificate="PRESIGNED" private_key=""
name="GoogleEarth.apk" certificate="PRESIGNED" private_key=""
name="GoogleEars.apk" certificate="PRESIGNED" private_key=""
name="Street.apk" certificate="PRESIGNED" private_key=""
name="LatinImeGoogle.apk" certificate="PRESIGNED" private_key=""
name="GoogleTTS.apk" certificate="PRESIGNED" private_key=""
name="GoogleHome.apk" certificate="PRESIGNED" private_key=""
name="Books.apk" certificate="PRESIGNED" private_key=""
name="GalleryGoogle.apk" certificate="PRESIGNED" private_key=""
name="MediaUploader.apk" certificate="PRESIGNED" private_key=""
name="PlayGames.apk" certificate="PRESIGNED" private_key=""
name="GoogleCamera.apk" certificate="PRESIGNED" private_key=""
name="ChromeBookmarksSyncAdapter.apk" certificate="PRESIGNED" private_key=""
name="FaceLock.apk" certificate="PRESIGNED" private_key=""
name="GoogleContactsSyncAdapter.apk" certificate="PRESIGNED" private_key=""
name="Apollo.apk" certificate="PRESIGNED" private_key=""
name="Calculator.apk" certificate="PRESIGNED" private_key=""
name="HTMLViewer.apk" certificate="PRESIGNED" private_key=""
name="DSPManager.apk" certificate="PRESIGNED" private_key=""
name="Browser.apk" certificate="PRESIGNED" private_key=""
name="PhotoTable.apk" certificate="PRESIGNED" private_key=""
name="VideoEditor.apk" certificate="PRESIGNED" private_key=""
name="Exchange2.apk" certificate="PRESIGNED" private_key=""
name="Email.apk" certificate="PRESIGNED" private_key=""
name="SoundRecorder.apk" certificate="PRESIGNED" private_key=""
name="DashClock.apk" certificate="PRESIGNED" private_key=""
name="PrintSpooler.apk" certificate="PRESIGNED" private_key=""
name="BasicDreams.apk" certificate="PRESIGNED" private_key=""
name="WAPPushManager.apk" certificate="PRESIGNED" private_key=""
name="OpenWnn.apk" certificate="PRESIGNED" private_key=""
name="DeskClock.apk" certificate="PRESIGNED" private_key=""
name="TimeService.apk" certificate="PRESIGNED" private_key=""
name="UpdateSetting.apk" certificate="PRESIGNED" private_key=""
name="CellBroadcastReceiver.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
name="Bluetooth.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
name="DocumentsUI.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
name="Provision.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
name="CertInstaller.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
name="LiveWallpapersPicker.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
name="Development.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
name="PackageInstaller.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
name="TelephonyProvider.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
name="OmniTorch.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
name="NfcNci.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
name="Stk.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
name="PacProcessor.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
name="KeyChain.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
name="MonthCalendarWidget.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
name="QuickOffice.apk" certificate="PRESIGNED" private_key=""
name="VisualizationWallpapers.apk" certificate="../tools/security/shared.x509.pem" private_key="../tools/security/shared.pk8"
name="NoiseField.apk" certificate="../tools/security/shared.x509.pem" private_key="../tools/security/shared.pk8"
name="MagicSmokeWallpapers.apk" certificate="../tools/security/shared.x509.pem" private_key="../tools/security/shared.pk8"
name="PhaseBeam.apk" certificate="../tools/security/shared.x509.pem" private_key="../tools/security/shared.pk8"
name="HoloSpiralWallpaper.apk" certificate="../tools/security/shared.x509.pem" private_key="../tools/security/shared.pk8"
name="UserDictionaryProvider.apk" certificate="../tools/security/shared.x509.pem" private_key="../tools/security/shared.pk8"
name="Galaxy4.apk" certificate="../tools/security/shared.x509.pem" private_key="../tools/security/shared.pk8"
name="LiveWallpapers.apk" certificate="../tools/security/shared.x509.pem" private_key="../tools/security/shared.pk8"
name="Superuser.apk" certificate="PRESIGNED" private_key=""
name="framework-miui-res.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
name="framework-res.apk" certificate="../tools/security/platform.x509.pem" private_key="../tools/security/platform.pk8"
